System/Element;PNO-LCCSD(T)-F12b
s_na_7_H;-0.499946081761
s_na_7_C;-37.788275050
s_na_7_N;-54.527924958
s_na_7_O;-75.002337297
s_na_7_Na;-162.180827463
;
s_na_8;-588.096375530
s_na_8_C;-37.788269061
s_na_8_O;-75.002327828
s_na_8_Na;-162.180817458
;
s_na_9;-399.551766820
s_na_9_O;-75.002366005
s_na_9_Na;-162.180857794
;
s_na_10;-474.692890930
s_na_10_O;-75.002347403
s_na_10_Na;-162.180838141
;
s_na_11;-1176.930390500
s_na_11_H;-0.499946081761
s_na_11_C;-37.788249145
s_na_11_N;-54.527894710
s_na_11_Na;-162.180784187
;
s_na_12;-1257.421166160
s_na_12_H;-0.499946081761
s_na_12_C;-37.788269831
s_na_12_N;-54.527918864
s_na_12_O;-75.002329044
s_na_12_F;-99.665063683
s_na_12_Na;-162.180818744
;
s_na_13;-1648.305416320
s_na_13_H;-0.499946081761
s_na_13_C;-37.788294810
s_na_13_Na;-162.180860472
s_na_13_Cl;-459.703465268
;
s_na_14;-872.572612740
s_na_14_H;-0.499946081761
s_na_14_N;-54.527922119
s_na_14_Na;-162.180823401
;
s_na_15;-1297.645283690
s_na_15_Na;-162.180910437
;
s_na_16;-238.823500470
s_na_16_H;-0.499946081761
s_na_16_C;-37.788266388
s_na_16_Na;-162.180812992
;
s_na_17;-1244.119554850
s_na_17_Na;-162.180900568
s_na_17_Cl;-459.703538337
;
s_na_18;-2488.294668700
s_na_18_Na;-162.180899782
s_na_18_Cl;-459.703536906
;
s_na_19;-355.458143510
s_na_19_H;-0.499946081761
s_na_19_C;-37.788234852
s_na_19_Na;-162.180760310
;
s_na_20;-262.029499060
s_na_20_F;-99.665106127
s_na_20_Na;-162.180854405
;
s_na_21;-240.487465060
s_na_21_H;-0.499946081761
s_na_21_C_cation;-37.375910254
s_na_21_C;-37.788262618
s_na_21_Na;-162.180806695
;
s_na_22;-314.811938950
s_na_22_H;-0.499946081761
s_na_22_O;-75.002316877
s_na_22_Na;-162.180805889
;
s_na_23;-362.823981090
s_na_23_H;-0.499946081761
s_na_23_F;-99.665072776
s_na_23_Na;-162.180826384
;
s_na_24;-2014.576531560
s_na_24_H;-0.499946081761
s_na_24_C;-37.788282356
s_na_24_N;-54.527933489
s_na_24_O;-75.002348848
s_na_24_F;-99.665088586
s_na_24_Na;-162.180839667
s_na_24_S_cation;-397.293218798
s_na_24_Cl;-459.703427355
;
s_na_25;-622.376291220
s_na_25_H;-0.499946081761
s_na_25_Na;-162.180887772
s_na_25_Cl_cation;-459.226688165
;
s_na_26;-547.355633830
s_na_26_H;-0.499946081761
s_na_26_C_cation;-37.375887645
s_na_26_C;-37.788221468
s_na_26_Na;-162.180737953
;
s_na_27;-388.139010930
s_na_27_H;-0.499946081761
s_na_27_N;-54.527877703
s_na_27_Na;-162.180759856
;
s_na_28;-409.981229050
s_na_28_H;-0.499946081761
