System;PNO-LCCSD(T)-F12b;wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
s_na_6;-659.372673360000;-659.790229566700;-659.421199740200;-659.766140445900;-659.771429858400;-659.739353183200;-659.373399430600;-659.759555275800;-659.755734800000;-659.685439472700
s_na_7;-934.135400960000;-934.785587579700;-934.226395772000;-934.724737657300;-934.739707656400;-934.683066652500;-934.172264373800;-934.756566386300;-934.741796170000;-934.608507937700
s_na_8;-588.096375530000;-588.556607681200;-588.166959625700;-588.484850085900;-588.513940034000;-588.468736883700;-588.153377633600;-588.539795591700;-588.532981680000;-588.422934862200
s_na_9;-399.551766820000;-399.789699753600;-399.552781590100;-399.761172137900;-399.758374075400;-399.746069945800;-399.543675119900;-399.757889624100;-399.775801180000;-399.715715417500
s_na_10;-474.692890930000;-475.007235418300;-474.708587845300;-474.964050309400;-474.970489283900;-474.947967169700;-474.702459874100;-475.005217599300;-474.989181750000;-474.910929621700
s_na_11;-1176.930390500000;-1177.996723669000;-1177.216458464000;-1177.880015713000;-1177.957126726000;-1177.840087857000;-1177.156834297000;-1177.972308501500;-1177.943791670000;-1177.749271952000
s_na_12;-1257.421166160000;-1258.323966933000;-1257.535592174000;-1258.227621493000;-1258.250557455000;-1258.174799451000;-1257.483966213000;-1258.258952117900;-1258.269559280000;-1258.089813930000
s_na_13;-1648.305416320000;-1649.597499418000;-1648.951754857000;-1649.512667695000;-1649.602555428000;-1649.536429711000;-1648.805248071000;-1649.550726803100;-1649.542173380000;-1649.456940294000
s_na_14;-872.572612740000;-873.139336060400;-872.630217095200;-873.086611481200;-873.112758979900;-873.058373842300;-872.571088456100;-873.104466798200;-873.096209130000;-872.989569355500
s_na_15;-1297.645283690000;-1298.305051903000;-1297.656867780000;-1298.234795265000;-1298.249570136000;-1298.203971909000;-1297.556002561000;-1298.297026226600;-1298.198520960000;-1298.135034968000
s_na_16;-238.823500470000;-239.022480697000;-238.863105381000;-238.996940229900;-239.013149910600;-238.985533101300;-238.848011029500;-239.017220632700;-239.012874970000;-238.967562918900
s_na_17;-1244.119554850000;-1245.152287742000;-1244.721701209000;-1245.078511165000;-1245.153340571000;-1245.110107386000;-1244.618417538000;-1245.118030096700;-1245.112300410000;-1245.057117400000
s_na_18;-2488.294668700000;-2490.359988689000;-2489.499194717000;-2490.212523409000;-2490.362334550000;-2490.275948450000;-2489.291526443000;-2490.285035114200;-2490.278462550000;-2490.171637568000
s_na_19;-355.458143510000;-355.822283209900;-355.591982008000;-355.782136382300;-355.821918124900;-355.780295998900;-355.558381440900;-355.810695517900;-355.804887150000;-355.749987016300
s_na_20;-262.029499060000;-262.193360382300;-262.034156227900;-262.174169885600;-262.173847731700;-262.161743406900;-262.025038459600;-262.195367637100;-262.183893640000;-262.142975761400
s_na_21;-240.487465060000;-240.672146798100;-240.532937925500;-240.661375491900;-240.670315169600;-240.654051381200;-240.506034965500;-240.667093474600;-240.659667010000;-240.634279046200
s_na_22;-314.811938950000;-315.028602125500;-314.836622252400;-315.009179518200;-315.013949888600;-314.994591691500;-314.820078286800;-315.010715816400;-315.008517350000;-314.967368458100
s_na_23;-362.823981090000;-363.061298761600;-362.840675029700;-363.037523256200;-363.040570335400;-363.020420196900;-362.824506031800;-363.051966790900;-363.044594790000;-362.995657545300
s_na_24;-2014.576531560000;-2016.195280615000;-2015.260580963000;-2016.070933576000;-2016.147953314000;-2016.059574875000;-2015.135665813000;-2016.097816696800;-2016.120303610000;-2015.941614064000
