Element  (for transition metal atoms, we additionally report „state-controlled“ energies, see main paper Sec. 3.2);wB97M-V;PBE0-D4;B3LYP-D4;M06-2X;r2SCAN-D4;PBE-D4;g-xTB;UMA;r2SCAN-3c
Zn;-1779.338101657000;-1779.185955765000;-1779.376582373000;-1779.418072031000;-1779.415472402000;-1779.173250030000;-1779.302477126555;-1779.297565740000;-1779.363542581000
Zn (state-controlled);-1779.338108000000;-1779.185942000000;-1779.376585000000;-1779.418043000000;-1779.415378000000;-1779.173269000000;;;
Ga;-1924.746972669000;-1924.595840964000;-1924.783415160000;-1924.853244728000;-1924.833389781000;-1924.561800043000;-1924.699823663911;-1924.704719770000;-1924.789667300000
Ga_cation;-1924.530047734000;-1924.374427387000;-1924.564809159000;-1924.636691474000;-1924.607369592000;-1924.341144410000;-1924.470858729201;-1924.489336510612;-1924.564664604000
Ge;-2076.850542327000;-2076.700656885000;-2076.885356832000;-2076.979386016000;-2076.948727531000;-2076.650198193000;-2076.800788422545;-2076.806174310000;-2076.902724762000
Ge_cation;-2076.564501260000;-2076.408395673000;-2076.598177679000;-2076.693887157000;-2076.651958707000;-2076.359169172000;-2076.517591832127;-2076.521222248888;-2076.605946871000
Ge_anion;-2076.890715073000;-2076.747392699000;-2076.925131420000;-2077.022907357000;-2077.000080156000;-2076.696264127000;-2076.840135094786;-2076.835520099028;-2076.943814785000
As;-2235.734825756000;-2235.587347476000;-2235.767800278000;-2235.885989079000;-2235.847563785000;-2235.521518328000;-2235.690036119251;-2235.687444490000;-2235.798980223000
As_cation;-2235.375895846000;-2235.221002453000;-2235.408733093000;-2235.525609121000;-2235.476058687000;-2235.157417921000;-2235.318453164816;-2235.329182314197;-2235.426704812000
As_anion;-2235.758896474000;-2235.611489759000;-2235.795300764000;-2235.910693037000;-2235.873616755000;-2235.547453813000;-2235.679166697664;-2235.697737339410;-2235.811067834000
Se;-2401.407044930000;-2401.255509176000;-2401.442401185000;-2401.579771835000;-2401.525882413000;-2401.178156504000;-2401.362728009406;-2401.358535730000;-2401.473610867000
Se_cation;-2401.052504887000;-2400.900282042000;-2401.084062402000;-2401.227170711000;-2401.168796261000;-2400.822488838000;-2401.014681180145;-2401.003725656681;-2401.118035624000
Se_anion;-2401.477744196000;-2401.326789298000;-2401.514828917000;-2401.648120721000;-2401.599251030000;-2401.250755203000;-2401.411929636946;-2401.433935222206;-2401.544223199000
Br;-2574.018811395000;-2573.864599044000;-2574.055556765000;-2574.210730019000;-2574.145195258000;-2573.776199369000;-2573.972488270325;-2573.968434820000;-2574.090840416000
Br_cation;-2573.585784042000;-2573.429978907000;-2573.620161594000;-2573.781033883000;-2573.708392200000;-2573.341873784000;-2573.544618786306;-2573.534855012609;-2573.653367609000
Br_anion;-2574.141486932000;-2573.988384521000;-2574.178982167000;-2574.333535473000;-2574.271386185000;-2573.900442087000;-2574.096414526284;-2574.094744011536;-2574.216102448000
Kr;-2753.663161438000;-2753.507295747000;-2753.700186497000;-2753.878183186000;-2753.799105600000;-2753.407228673000;-2753.610012840796;-2753.610908460000;-2753.744448099000
Rb;-24.021380453250;-24.081907706690;-24.068037242300;-24.023786015790;-24.095966728360;-24.082557288390;-24.027595611824;-24.021114710000;-24.095923962340
Sr;-30.624168933990;-30.677763584660;-30.669409745330;-30.625009820010;-30.688702074750;-30.684307166730;-30.629835687374;-30.623919590000;-30.688598939830
Sr_cation;-30.412913828490;-30.471457773050;-30.460621310380;-30.408155796690;-30.489182586070;-30.474860896040;-30.408475197273;-30.412563169654;-30.489008453970
Y;-38.147509868420;-38.208237981000;-38.201213324400;-38.150171286970;-38.231300426750;-38.221657033300;-38.148980147579;-38.146832640000;-38.228736454500
Y (state-controlled);-38.147464530000;-38.208221720000;-38.201200110000;-38.150159390000;-38.231258980000;-38.221643410000;;;
Zr;-46.818268176980;-46.883720996100;-46.878256711870;-46.816525646810;-46.917085045830;-46.902166843340;-46.826037608293;-46.817460620000;-46.913186184590
Zr (state-controlled);-46.818289270000;-46.883353880000;-46.878272020000;-46.816539740000;-46.909997440000;-46.900053040000;;;
Nb;-56.734846976440;-56.821394233550;-56.797059070200;-56.715457578910;-56.863084153050;-56.842206640440;-56.754227049326;-56.684174310000;-56.858912079070
Nb (state-controlled);-56.734858440000;-56.821396810000;-56.797073050000;-56.715476950000;-56.862555270000;-56.841547410000;;;
Mo;-68.015813765760;-68.106359736940;-68.075981223830;-67.986609100770;-68.155218872940;-68.126842136350;-68.020746055309;-68.013505100000;-68.153135805400
Mo (state-controlled);-68.015843360000;-68.106377820000;-68.076002850000;-67.986618290000;-68.155255030000;-68.126862630000;;;
Tc;-80.626492992290;-80.698645227650;-80.683288533510;-80.610871056200;-80.750259300900;-80.722954590130;-80.635284835336;-80.624953580000;-80.746743681230
Tc (state-controlled);-80.626511510000;-80.696110890000;-80.683221140000;-80.610914350000;-80.744461730000;-80.715171180000;;;
Ru;-94.714387554090;-94.798694773230;-94.785559740230;-94.703262283650;-94.842882535660;-94.822365223210;-94.728914469377;-94.709897140000;-94.836173356870
Ru (state-controlled);-94.714417160000;-94.798712710000;-94.785581420000;-94.703238190000;-94.842926350000;-94.822387740000;;;
Rh;-110.402329901200;-110.481236641800;-110.440122855300;-110.378566792200;-110.526745309900;-110.504302794500;-110.424698685588;-110.399973660000;-110.522528420100
Rh (state-controlled);-110.402278800000;-110.481193400000;-110.471867000000;-110.389984100000;-110.526653300000;-110.504255400000;;;
Pd;-127.800889950800;-127.860608986000;-127.852979912500;-127.796787743200;-127.898604328700;-127.885113630200;-127.810605426239;-127.796807540000;-127.894979644400
Pd (state-controlled);-127.800895300000;-127.860602400000;-127.852978100000;-127.796782700000;-127.898689300000;-127.885111000000;;;
Ag;-146.901052982000;-146.968301728100;-146.960416381400;-146.901274532600;-147.018736551200;-146.985838792300;-146.915652840184;-146.898750460000;-147.016701532900
Ag (state-controlled);-146.901052200000;-146.968301300000;-146.960421200000;-146.901270600000;-147.018666600000;-146.985844300000;;;
Cd;-167.716434283000;-167.776280318500;-167.774038288700;-167.710206756600;-167.837443558100;-167.790915498800;-167.717862485405;-167.715030580000;-167.835549965000
Cd (state-controlled);-167.716522900000;-167.776349700000;-167.774118700000;-167.710255800000;-167.837608400000;-167.791011200000;;;
In;-190.061812674500;-190.114817624000;-190.109087349500;-190.047980228900;-190.182581169100;-190.118393324300;-190.055295821283;-190.061005510000;-190.181491205500
In_cation;-189.856734585800;-189.908226331200;-189.904456195000;-189.845371883500;-189.972455918000;-189.912925457700;-189.841089065738;-189.856339807745;-189.971835327200
Sn;-214.207313940700;-214.259603544600;-214.246169433400;-214.196215267100;-214.331816909400;-214.250374927500;-214.203564898378;-214.206429790000;-214.330562511100
Sn_cation;-213.942546005000;-213.991118205200;-213.982141833800;-213.932252604400;-214.059657351800;-213.983571311600;-213.928800462339;-213.941856783347;-214.058597067000
Sn_anion;-214.252341073700;-214.309895451700;-214.290512024300;-214.241617086000;-214.386126735500;-214.300134222200;-214.271950968503;-214.250055759721;-214.383503186500
